<;; -*- coding: utf-8-mcs-er -*-
HZK11-A8DD	&HZK11-A8DD;	⿰&GT-46811;&B-AB41;
HZK11-A8DE	&HZK11-A8DE;	⿰&M-28877;&B-AB41;
HZK11-A8EC	&HZK11-A8EC;	⿰皆&B-AB41;
HZK11-A8ED	&HZK11-A8ED;	⿰狊&B-AB41;
HZK11-A8EE	&HZK11-A8EE;	⿰&M-24886;&B-AB41;
HZK11-A8EF	&HZK11-A8EF;	⿰咢&B-AB41;
HZK11-A8F1	&HZK11-A8F1;	⿲⿳口口口&B-AB41;
HZK11-A8F2	&HZK11-A8F2;	⿱&GT-32182;&B-AB41;
HZK11-A8F3	&HZK11-A8F3;	⿰&B-ADAB;&B-AB41;
HZK11-A8F4	&HZK11-A8F4;	⿰信&B-AB41;
HZK11-A8F5	&HZK11-A8F5;	⿰禹&B-AB41;
HZK11-A8F6	&HZK11-A8F6;	⿰盾&B-AB41;
HZK11-A8F7	&HZK11-A8F7;	⿰弇&B-AB41;
HZK11-A8F8	&HZK11-A8F8;	&GT-45972;口&B-AB41;
HZK11-A8F9	&HZK11-A8F9;	⿰宣&B-AB41;
HZK11-A8FA	&HZK11-A8FA;	⿰&B-ACF0;&B-AB41;
HZK11-A8FB	&HZK11-A8FB;	民日&B-AB41;
HZK11-A8FC	&HZK11-A8FC;	⿰&GT-29045;&B-AB41;
HZK11-A8FD	&HZK11-A8FD;	矛攵&B-AB41;
HZK11-A8FE	&HZK11-A8FE;	⿰彖&B-AB41;
HZK11-A94D	&HZK11-A94D;	&CDP-8D44;&GT-21300;&B-AB41;
HZK11-A950	&HZK11-A950;	小日&GT-39640;&B-AB41;
HZK11-A951	&HZK11-A951;	⿰&B-B0A9;&B-AB41;
HZK11-A952	&HZK11-A952;	⿰&B-B05A;&B-AB41;
HZK11-A953	&HZK11-A953;	⿰&CDP-8CB2;&B-AB41;
HZK11-A954	&HZK11-A954;	水呂&B-AB41;
HZK11-A955	&HZK11-A955;	⿱&B-EC50;乃
HZK11-A96D	&HZK11-A96D;	⿰&B-AB41;&M-32682;
HZK11-A96F	&HZK11-A96F;	⿰&GT-01002;&B-AB41;
HZK11-A970	&HZK11-A970;	⿲⿱句句&B-AB41;
HZK11-A971	&HZK11-A971;	⿰&CDP-8CDA;&B-AB41;
HZK11-A9EF	&HZK11-A9EF;	⿰&M-03709;&B-AB41;
