;; -*- coding: utf-8-mcs-er -*-
HZK03-CC40	&HZK03-CC40;	⿰弓&M-05041;
HZK03-CC41	&HZK03-CC41;	⿲弓㐁弓
HZK03-CC43	&I-HZK03-CC43;	⿰弓是
HZK03-CC44	&HZK03-CC44;	⿰弓&CDP-8C65;
HZK03-CC56	&I-HZK03-CC56;	⿲弓⿱口口弓
HZK03-CC57	&I-HZK03-CC57;	⿰弓&GT-00120;
HZK03-CC58	&I-HZK03-CC58;	弓彡弓彡
HZK03-CC5A	&HZK03-CC5A;	⿰弓&GT-14816;
HZK03-CC76	&I-HZK03-CC76;	⿲⿰弓弓㐁
HZK03-CC77	&I-HZK03-CC77;	⿲⿰弓弓百
HZK03-CC78	&HZK03-CC78;	⿰弓彖
HZK03-CC79	&I-HZK03-CC79;	⿲弓&GT-35079;弓
HZK03-CC7A	&HZK03-CC7A;	⿰弓&CDP-8C73;
HZK03-CC7B	&HZK03-CC7B;	⿰弓&B-B0AC;
HZK03-CC7C	&I-HZK03-CC7C;	⿲弓束弓
HZK03-CC7D	&I-HZK03-CC7D;	⿰弓&M-01483;
HZK03-CC7E	&I-HZK03-CC7E;	弓𠂆虍人
HZK03-CCA1	&HZK03-CCA1;	⿰弓虒
HZK03-CCA2	&HZK03-CCA2;	⿰弓真
HZK03-CCA3	&I-HZK03-CCA3;	⿲弓&GT-35081;弓
HZK03-CCA4	&I-HZK03-CCA4;	⿰弓&GT-17242;
HZK03-CCA5	&HZK03-CCA5;	⿱&CDP-8C5F;弓
HZK03-CCA6	&I-HZK03-CCA6;	⿱&CDP-8BE0;弓
HZK03-CCA7	&HZK03-CCA7;	弓⺿日廾
HZK03-CCAA	&I-HZK03-CCAA;	⿰弓&GT-31700;
HZK03-CCAB	&I-HZK03-CCAB;	弓百一丿巳
HZK03-CCAD	&I-HZK03-CCAD;	⿰弓國
HZK03-CCAE	&I-HZK03-CCAE;	⿰弓崩
HZK03-CCAF	&I-HZK03-CCAF;	⿱弗&M-24886;
HZK03-CCB0	&I-HZK03-CCB0;	⿰弓從
HZK03-CCB1	&HZK03-CCB1;	⿲弓育弓
HZK03-CCB8	&HZK03-CCB8;	⿰弓渠
HZK03-CCB9	&I-HZK03-CCB9;	⿰弓&M-07199;
HZK03-CCBA	&I-HZK03-CCBA;	⿱張弓
HZK03-CCBB	&I-HZK03-CCBB;	⿲弓⿰㐁㐁
HZK03-CCBC	&I-HZK03-CCBC;	⿰弓皕
HZK03-CCBD	&HZK03-CCBD;	⿰弓朁
HZK03-CCC0	&I-HZK03-CCC0;	⿰弓喬
HZK03-CCC1	&HZK03-CCC1;	⿰弓&GT-18103;
HZK03-CCC2	&I-HZK03-CCC2;	⿰弓番
HZK03-CCC3	&HZK03-CCC3;	弭丿虫
HZK03-CCC4	&I-HZK03-CCC4;	⿱敬弓
HZK03-CCDA	&I-HZK03-CCDA;	⿰弓&B-B941;
HZK03-CCDC	&I-HZK03-CCDC;	⿲弓&CDP-8CDA;弓
HZK03-CCDD	&I-HZK03-CCDD;	⿲弓芻弓
HZK03-CCDE	&I-HZK03-CCDE;	⿱粥&GT-00467;
HZK03-CCDF	&HZK03-CCDF;	⿰弓肅
HZK03-CCF8	&I-HZK03-CCF8;	⿱&B-B940;弓
HZK03-CCF9	&I-HZK03-CCF9;	⿳芏我弓
HZK03-CCFB	&I-HZK03-CCFB;	弓&CDP-88F0;言弓
HZK03-CCFC	&I-HZK03-CCFC;	&CDP-8BD6;玨⿰弓弓
HZK03-CCFD	&I-HZK03-CCFD;	弓龷&CDP-8569;
HZK03-CCFE	&HZK03-CCFE;	弓⺿&CDP-8574;
HZK03-CD40	&I-HZK03-CD40;	弓&CDP-8C65;&C1-483B;
HZK03-CD59	&HZK03-CD59;	⿲弓&GT-18103;弓
HZK03-CD5A	&I-HZK03-CD5A;	⿲弓番弓
HZK03-CD5B	&HZK03-CD5B;	⿰弓&GT-11938;
HZK03-CD5C	&I-HZK03-CD5C;	弓者火弓
HZK03-CD5D	&I-HZK03-CD5D;	弓&CDP-8DE9;&GT-35081;弓
HZK03-CD5E	&I-HZK03-CD5E;	⿰弓盧
HZK03-CD5F	&I-HZK03-CD5F;	弓&CDP-88DE;勾弓
HZK03-CD60	&HZK03-CD60;	&CDP-8B56;同一⿰弓弓
HZK03-CD61	&HZK03-CD61;	⿲弓&GT-00433;弓
HZK03-CD62	&I-HZK03-CD62;	弓&CDP-8AA5;卝干
HZK03-CD63	&I-HZK03-CD63;	⿰弓蕭
HZK03-CD64	&I-HZK03-CD64;	弓爾土
HZK03-CD65	&I-HZK03-CD65;	⿰弓&M-27856;
HZK03-CD66	&I-HZK03-CD66;	⿰弓&GT-46582;
HZK03-CD67	&I-HZK03-CD67;	⿰弓&B-C153;
HZK03-CD68	&HZK03-CD68;	⿰弓雚
HZK03-CD69	&HZK03-CD69;	⿰弓&M-30249;
HZK03-CD6A	&HZK03-CD6A;	弓爾王
HZK03-CD6B	&I-HZK03-CD6B;	弓&CDP-88F0;言&GT-35081;
HZK03-CD6C	&I-HZK03-CD6C;	&CDP-88F0;言&GT-35081;弓
HZK03-CD6D	&I-HZK03-CD6D;	⿰弓&B-C3D9;
HZK03-CD7A	&HZK03-CD7A;	弓⿰兂兂&B-B0AC;弓
HZK03-CD7B	&HZK03-CD7B;	⿰兂兂弓&B-B0AC;弓
HZK03-CD7C	&I-HZK03-CD7C;	⿲弓羹弓
HZK03-CD7D	&I-HZK03-CD7D;	弓&GT-21457;弓畐弓
