;; -*- coding: utf-8-mcs-er -*-
CB00558	&I-CB00558;	⿰石𡿺
CB00559	&I-CB00559;	⿱⺫絹
CB00560	&I-CB00560;	⿰月却
CB00561	&I-CB00561;	⿱口丂
CB00562	&I-CB00562;	&I-CB00562;
CB00563	&I-CB00563;	⿰⻊厨
CB00564	&I-CB00564;	⿰⻊&g2-AJ1-04009;
CB00565	&I-CB00565;	⿰⻊束
CB00566	&I-CB00566;	&I-CB00566;
CB00567	&I-CB00567;	⿰⻊專
CB00568	&I-CB00568;	⿰⻊梁
CB00569	&JSP-603E;	⿰⻊&MJ020687;
CB00570	&I-CB00570;	⿰⻊辟
CB00571	&I-CB00571;	⿰⻊尃
CB00572	&I-CB00572;	⿱&AJ1-13963;口
CB00573	&I-CB00573;	⿱尙甘
CB00574	&I-CB00574;	&I-CB00574;
CB00575	&I-CB00575;	⿰&MJ010230;吉
CB00576	&I-CB00576;	⿰&MJ010230;頁
CB00577	&I-CB00577;	⿰學攴
CB00578	&I-CB00578;	&I-CB00578;
CB00579	&C4-565E;	⿰漂寸
CB00580	&I-CB00580;	⿱漸土
CB00581	&I-CB00581;	⿰爾見
CB00582	&I-CB00582;	⿱艹盇
CB00583	&I-CB00583;	⿺風&AJ1-03502;
CB00584	&I-CB00584;	⿺風犮
CB00585	&I-CB00585;	⿺風焱
CB00586	&I-CB00586;	&I-CB00586;
CB00587	&I-CB00587;	⿰鼻臭
CB00588	&I-CB00588;	⿰土&CDP-8CBE;
CB00589	&I-CB00589;	⿰氵閒
CB00590	&I-CB00590;	&I-CB00590;
CB00591	&I-CB00591;	⿰⿱&CDP-8D44;米殳
CB00592	&I-CB00592;	&I-CB00592;
CB00593	&I-CB00593;	⿻行童
CB00594	&I-CB00594;	⿱臤立
CB00595	&I-CB00595;	⿰麥&AJ1-02455;
CB00596	&I-CB00596;	⿰麥并
CB00597	&I-CB00597;	⿰麥黃
CB00598	&I-CB00598;	⿰齒乍
CB00599	&I-CB00599;	⿰齒&g2-AJ1-13439;
CB00600	&I-CB00600;	⿰齒來
CB00601	&I-CB00601;	⿰齒査
CB00602	&I-CB00602;	⿰齒&AJ1-02089;
CB00603	&I-CB00603;	⿰齒堯
CB00604	&I-CB00604;	⿰齒齊
CB00605	&I-CB00605;	⿰土畺
