;; -*- coding: utf-8-mcs-er -*-
U+302B0	𰊰	⿱⿰土乍豆
U+302B1	𰊱	⿰土就
U+302B2	𰊲	⿱⿰⿱由方攵土
U+302B3	𰊳	⿺堯夭
U+302B4	𰊴	⿰雷土
U+302B5	𰊵	⿱堆立
U+302B6	𰊶	⿱萬土
U+302B7	𰊷	⿰土黽
U+302B8	𰊸	⿰土廈
U+302B9	𰊹	⿰土碩
U+302BA	𰊺	⿰土嘗
U+302BB	𰊻	⿰土賣
U+302BC	𰊼	⿰土膚
U+302BD	𰊽	⿱⿰号虒土
U+302BE	𰊾	⿰土𡼡
U+302BF	𰊿	⿱⿰⿱幺幸攵土
U+302C0	𰋀	⿰土畿
U+302C1	𰋁	⿱⿰戞斗土
U+302C2	𰋂	⿰土⿳艹⿱丶𠫔⿱王収
U+302C3	𰋃	⿰土燮
U+302C4	𰋄	⿰土翼
U+302C5	𰋅	⿰土簿
U+302C6	𰋆	⿰土黨
U+302C7	𰋇	⿺堯榮
U+302C8	𰋈	⿱士㓀
U+302C9	𰋉	⿱壵一
U+302CA	𰋊	⿰百壳
U+302CB	𰋋	⿰壴冬
U+302CC	𰋌	⿰声巠
U+302CD	𰋍	⿰⿳士冖几聖
U+302CE	𰋎	⿱夂豕
U+302CF	𰋏	⿱⿹勹⿱一吕夊
U+302D0	𰋐	⿰多九
U+302D1	𰋑	⿰多共
U+302D2	𰋒	⿰多𪵩
U+302D3	𰋓	⿰多足
U+302D4	𰋔	⿰多坴
U+302D5	𰋕	⿰多宗
U+302D6	𰋖	⿰娄多
U+302D7	𰋗	⿰梦乐
U+302D8	𰋘	⿰密多
U+302D9	𰋙	⿵𠀃人
U+302DA	𰋚	⿰工大
U+302DB	𰋛	⿱大长
U+302DC	𰋜	⿻大⿰㐅㐅
U+302DD	𰋝	⿱巨大
